canonical,country,state,resolved,status,error
National Centers for Environmental Prediction,United States,NA,TRUE,resolved,NA
National Central University,Taiwan,NA,TRUE,resolved,NA
National Ecological Observatory Network,United States,Colorado,TRUE,resolved,NA
National Geographic Society,United States,NA,TRUE,resolved,NA
National Hydraulic Research Institute of Malaysia,Malaysia,NA,TRUE,resolved,NA
National Institute of Education,NA,NA,TRUE,unknown,NA
National Institute of Polar Research,Japan,NA,TRUE,resolved,NA
National Laboratory of the Rockies,NA,NA,TRUE,unknown,NA
National Marine Environmental Forecasting Center,China,NA,TRUE,resolved,NA
National Oceanic and Atmospheric Administration,United States,NA,TRUE,resolved,NA
National Oceanic and Atmospheric Administration California Nevada River Forecast Center,United States,California,TRUE,resolved,NA
National Oceanic and Atmospheric Administration National Marine Fisheries Service,United States,NA,TRUE,resolved,NA
National Oceanic and Atmospheric Administration National Weather Service,United States,NA,TRUE,resolved,NA
National Park Service,United States,NA,TRUE,resolved,NA
National Snow and Ice Data Center,United States,Colorado,TRUE,resolved,NA
National Sun Yat-Sen University,Taiwan,NA,TRUE,resolved,NA
National University of Singapore,Singapore,NA,TRUE,resolved,NA
National Zoological Park,United States,NA,TRUE,resolved,NA
Natural Resources Defense Council,United States,New York,TRUE,resolved,NA
Natural Resources Institute Finland,Finland,NA,TRUE,resolved,NA
Naturalis Biodiversity Center,Netherlands,NA,TRUE,resolved,NA
Nature Conservancy,United States,NA,TRUE,resolved,NA
Nature Metrics North America Ltd.,NA,NA,TRUE,unknown,NA
Naval Information Warface Center,United States,NA,TRUE,resolved,NA
Nevada Department of Wildlife,United States,Nevada,TRUE,resolved,NA
Nevada Division of Forestry,United States,Nevada,TRUE,resolved,NA
New Mexico State University,United States,New Mexico,TRUE,resolved,NA
New South Wales Government,Australia,NA,TRUE,resolved,NA
New Zealand Department of Scientific and Industrial Research,New Zealand,NA,TRUE,resolved,NA
Nhydra Ecological Consulting,NA,NA,TRUE,unknown,NA
Nigerian Meteorological Agency,Nigeria,NA,TRUE,resolved,NA
North Carolina State Museum of Natural Sciences,United States,North Carolina,TRUE,resolved,NA
North Carolina State University,United States,North Carolina,TRUE,resolved,NA
North Dakota State University,United States,North Dakota,TRUE,resolved,NA
North West Research Associates,United States,NA,TRUE,resolved,NA
Northeast Institute of Geography and Agroecology,China,NA,TRUE,resolved,NA
Northeastern University,United States,Massachusetts,TRUE,resolved,NA
Northern Arizona University,United States,Arizona,TRUE,resolved,NA
Northern Colorado Water Conservancy District,United States,Colorado,TRUE,resolved,NA
Northern Illinois University,United States,Illinois,TRUE,resolved,NA
Northern Sierra Mewuk,United States,California,TRUE,resolved,NA
Northwest Indian Fisheries Commission,United States,Washington,TRUE,resolved,NA
Northwest Institute of Eco-Environment and Resources,China,NA,TRUE,resolved,NA
NorthWest Research Associates,United States,Washington,TRUE,resolved,NA
Northwestern University,United States,Illinois,TRUE,resolved,NA
Norwegian Institute for Nature Research,Norway,NA,TRUE,resolved,NA
Norwegian Institute for Water Research,Norway,NA,TRUE,resolved,NA
Norwegian Meteorological Institute,Norway,NA,TRUE,resolved,NA
Norwegian University of Science and Technology,Norway,NA,TRUE,resolved,NA
NVIDIA,United States,California,TRUE,resolved,NA
Oak Ridge National Laboratory,United States,Tennessee,TRUE,resolved,NA
Obafemi Awolowo University,Nigeria,NA,TRUE,resolved,NA
Oceankind,NA,NA,TRUE,unknown,NA
Office of Naval Research,United States,NA,TRUE,resolved,NA
Oklahoma State University,United States,Oklahoma,TRUE,resolved,NA
Old Dominion University,United States,Virginia,TRUE,resolved,NA
One People One Reef,NA,NA,TRUE,unknown,NA
Orange County Water District,United States,California,TRUE,resolved,NA
Oregon Department of Fish and Wildlife,United States,Oregon,TRUE,resolved,NA
Oregon Health & Science University,United States,Oregon,TRUE,resolved,NA
Oregon State University,United States,Oregon,TRUE,resolved,NA
Osaka Metropolitan University,Japan,NA,TRUE,resolved,NA
Ostrach Consulting,NA,NA,TRUE,unknown,NA
"Our Kettle, Inc.",NA,NA,TRUE,unknown,NA
OVAM,Belgium,NA,TRUE,resolved,NA
"Owl of Minerva, LLC",NA,NA,TRUE,unknown,NA
Pacific Engineering and Analysis,United States,California,TRUE,resolved,NA
Pacific Gas and Electric Company,United States,California,TRUE,resolved,NA
Pacific Northwest National Laboratory,United States,Washington,TRUE,resolved,NA
Pacific States Marine Fisheries Commission,United States,Oregon,TRUE,resolved,NA
Panoche Drainage District,United States,California,TRUE,resolved,NA
Panthera USA,United States,New York,TRUE,resolved,NA
Patuxent Wildlife Research Center,United States,Maryland,TRUE,resolved,NA
Peking University,China,NA,TRUE,resolved,NA
Pennsylvania State University,United States,Pennsylvania,TRUE,resolved,NA
Plymouth Marine Laboratory,United Kingdom,NA,TRUE,resolved,NA
Plymouth State University,United States,New Hampshire,TRUE,resolved,NA
Point Blue Conservation Science,United States,California,TRUE,resolved,NA
Portland State University,United States,Oregon,TRUE,resolved,NA
Prairie View A&M University,United States,Texas,TRUE,resolved,NA
Princeton University,United States,New Jersey,TRUE,resolved,NA
Purdue University,United States,Indiana,TRUE,resolved,NA
Pusan National University,South Korea,NA,TRUE,resolved,NA
QEDA Consulting,NA,NA,TRUE,unknown,NA
"QEDA Consulting, LLC",NA,NA,TRUE,unknown,NA
Québec Centre for Biodiversity Sciences,Canada,NA,TRUE,resolved,NA
Queensland Museum,Australia,NA,TRUE,resolved,NA
Ramat Negev Works Ltd.,Israel,NA,TRUE,resolved,NA
Ramboll Group,Denmark,NA,TRUE,resolved,NA
"Ramboll USA, Inc.",United States,NA,TRUE,resolved,NA
RAND Corporation,United States,California,TRUE,resolved,NA
Rensselaer Polytechnic Institute,United States,New York,TRUE,resolved,NA
Resource Management Associates,NA,NA,TRUE,unknown,NA
Restore the Delta,United States,California,TRUE,resolved,NA
Rice University,United States,Texas,TRUE,resolved,NA
"Rincon Consultants, Inc.",United States,California,TRUE,resolved,NA
River Partners,United States,California,TRUE,resolved,NA
Riverford Consulting,NA,NA,TRUE,unknown,NA
Riverly,NA,NA,TRUE,unknown,NA
RMIT University,Australia,NA,TRUE,resolved,NA
"RNT Consulting, Inc.",NA,NA,TRUE,unknown,NA
Rockefeller University,United States,New York,TRUE,resolved,NA
Rocky Mountain Biological Laboratory,United States,Colorado,TRUE,resolved,NA
"Rohde Environmental Consulting, LLC",NA,NA,TRUE,unknown,NA
Roux,NA,NA,TRUE,unknown,NA
Royal Meteorological Institute of Belgium,Belgium,NA,TRUE,resolved,NA
RTI International,United States,North Carolina,TRUE,resolved,NA
Rural Development Administration,NA,NA,TRUE,unknown,NA
Russian Academy of Sciences,Russia,NA,TRUE,resolved,NA
Rutgers University,United States,New Jersey,TRUE,resolved,NA
"S.S. Papadopulos & Associates, Inc.",United States,Maryland,TRUE,resolved,NA
Sacramento Zoo,United States,California,TRUE,resolved,NA
"Safe Water and LED Lighting Operatives Worldwide, Inc.",NA,NA,TRUE,unknown,NA
SAIC,United States,NA,TRUE,resolved,NA
Saint Anselm College,United States,New Hampshire,TRUE,resolved,NA
Salt Lake City Public Utilities,United States,Utah,TRUE,resolved,NA
San Diego Region Water Reclamation Agency,United States,California,TRUE,resolved,NA
San Diego Zoo Wildlife Alliance,United States,California,TRUE,resolved,NA
San Francisco Estuary Institute,United States,California,TRUE,resolved,NA
San Francisco Public Utilities Commission,United States,California,TRUE,resolved,NA
Santa Barbara City College,United States,California,TRUE,resolved,NA
Santa Clara University,United States,California,TRUE,resolved,NA
Santa Clara Valley Water District,United States,California,TRUE,resolved,NA
Sarawak Tropical Peat Research Institute,Malaysia,NA,TRUE,resolved,NA
Science and Technology Corporation,NA,NA,TRUE,unknown,NA
Self-Help Enterprises,United States,California,TRUE,resolved,NA
Senckenberg Biodiversität und Klima Forschungszentrum,Germany,NA,TRUE,resolved,NA
Senckenberg Forschungsinstitut und Naturmuseum,Germany,NA,TRUE,resolved,NA
Seoul National University,South Korea,NA,TRUE,resolved,NA
Sequoia Riverlands Trust,United States,California,TRUE,resolved,NA
SGM,NA,NA,TRUE,unknown,NA
Shahrood University of Technology,Iran,NA,TRUE,resolved,NA
Shanghai Normal University,China,NA,TRUE,resolved,NA
Shanghai University,China,NA,TRUE,resolved,NA
Shannon and Wilson Incorporated,United States,Washington,TRUE,resolved,NA
Sharif University of Technology,Iran,NA,TRUE,resolved,NA
Sherwood Design Engineers,United States,California,TRUE,resolved,NA
Shinshu University,Japan,NA,TRUE,resolved,NA
Sierra College,United States,California,TRUE,resolved,NA
Sierra Streams Institute,United States,California,TRUE,resolved,NA
Simon Fraser University,Canada,NA,TRUE,resolved,NA
SLAC National Accelerator Laboratory,United States,California,TRUE,resolved,NA
"Smith-Root, Inc.",United States,Washington,TRUE,resolved,NA
Smithsonian Environmental Research Center,United States,Maryland,TRUE,resolved,NA
Smithsonian Institution,United States,NA,TRUE,resolved,NA
Smithsonian National Museum of Natural History,United States,NA,TRUE,resolved,NA
Smithsonian Tropical Research Institute,Panama,NA,TRUE,resolved,NA
Society for Conservation Biology,United States,NA,TRUE,resolved,NA
SocioEnvironmental and Economic Development Strategies,NA,NA,TRUE,unknown,NA
SocioEnvironmental and Education Network,NA,NA,TRUE,unknown,NA
Sonoma Water,United States,California,TRUE,resolved,NA
Sorbonne Université,France,NA,TRUE,resolved,NA
South China Normal University,China,NA,TRUE,resolved,NA
Southern California Coastal Water Research Project,United States,California,TRUE,resolved,NA
Southern California Edison Company,United States,California,TRUE,resolved,NA
Southern Illinois University,United States,Illinois,TRUE,resolved,NA
Southern University of Science and Technology,China,NA,TRUE,resolved,NA
Southwest University,China,NA,TRUE,resolved,NA
Southwest Watershed Research Center,United States,Arizona,TRUE,resolved,NA
St. Cloud State University,United States,Minnesota,TRUE,resolved,NA
Stanford University,United States,California,TRUE,resolved,NA
Stantec,Canada,NA,TRUE,resolved,NA
State of Michigan,United States,Michigan,TRUE,resolved,NA
State University of New York,United States,New York,TRUE,resolved,NA
Stellenbosch University,South Africa,NA,TRUE,resolved,NA
Stockholm Environment Institute,Sweden,NA,TRUE,resolved,NA
Stony Brook University,United States,New York,TRUE,resolved,NA
Stringfellow and Associates,NA,NA,TRUE,unknown,NA
Suez Canal University,Egypt,NA,TRUE,resolved,NA
Suisun Resource Conservation District,United States,California,TRUE,resolved,NA
Sultan Qaboos University,Oman,NA,TRUE,resolved,NA
Sun Yat-Sen University,China,NA,TRUE,resolved,NA
"SureWorks, LLC",NA,NA,TRUE,unknown,NA
Susanne Moser Research & Consulting,NA,NA,TRUE,unknown,NA
Swedish Meteorological and Hydrological Institute,Sweden,NA,TRUE,resolved,NA
Swedish University of Agricultural Sciences,Sweden,NA,TRUE,resolved,NA
Swiss Federal Institute of Aquatic Science and Technology,Switzerland,NA,TRUE,resolved,NA
Swiss Ornithological Institute,Switzerland,NA,TRUE,resolved,NA
Systech Engineering,NA,NA,TRUE,unknown,NA
Tacoma Power,United States,Washington,TRUE,resolved,NA
Taiwan Typhoon and Flood Research Institute,Taiwan,NA,TRUE,resolved,NA
Tarbiat Modares University,Iran,NA,TRUE,resolved,NA
Technion - Israel Institute of Technology,Israel,NA,TRUE,resolved,NA
Technische Universität Berlin,Germany,NA,TRUE,resolved,NA
Technische Universität Braunschweig,Germany,NA,TRUE,resolved,NA
Technische Universität München,Germany,NA,TRUE,resolved,NA
"Tecplot, Inc.",United States,Washington,TRUE,resolved,NA
Tennessee Aquarium Conservation Institute,United States,Tennessee,TRUE,resolved,NA
TerraFauna Wildlife Consulting,NA,NA,TRUE,unknown,NA
"Tetra Tech, Inc.",United States,NA,TRUE,resolved,NA
Texas A&M AgriLife Research,United States,Texas,TRUE,resolved,NA
Texas A&M University,United States,Texas,TRUE,resolved,NA
"Texas A&M University, Corpus Christi",United States,Texas,TRUE,resolved,NA
"Texas A&M University, Kingsville",United States,Texas,TRUE,resolved,NA
Texas State University,United States,Texas,TRUE,resolved,NA
Texas Tech University,United States,Texas,TRUE,resolved,NA
Texas Water Development Board,United States,Texas,TRUE,resolved,NA
The Ohio State University,United States,Ohio,TRUE,resolved,NA
"The Tomorrow Companies, Inc.",United States,Massachusetts,TRUE,resolved,NA
Thuyloi University,Vietnam,NA,TRUE,resolved,NA
Tianjin University,China,NA,TRUE,resolved,NA
Tohoku University,Japan,NA,TRUE,resolved,NA
Tokai University,Japan,NA,TRUE,resolved,NA
Tongji University,China,NA,TRUE,resolved,NA
Toray Membrane USA,United States,California,TRUE,resolved,NA
Tottori University,Japan,NA,TRUE,resolved,NA
Toyama Prefectural University,Japan,NA,TRUE,resolved,NA
Tribhuvan University,Nepal,NA,TRUE,resolved,NA
Trout Unlimited,United States,NA,TRUE,resolved,NA
"Trussell Technologies, Inc.",United States,California,TRUE,resolved,NA
Tsinghua University,China,NA,TRUE,resolved,NA
UCLouvain,Belgium,NA,TRUE,resolved,NA
UK Centre for Ecology & Hydrology,United Kingdom,NA,TRUE,resolved,NA
Ukrainian Hydrometeorological Institute,Ukraine,NA,TRUE,resolved,NA
Ulithi Falalop Community Action Program,NA,NA,TRUE,unknown,NA
"UNAVCO, Inc.",United States,Colorado,TRUE,resolved,NA
Union of Concerned Scientists,United States,Massachusetts,TRUE,resolved,NA
United States Army Corps of Engineers,United States,NA,TRUE,resolved,NA
United States Army Engineer Research and Development Center,United States,NA,TRUE,resolved,NA
"United States Army Research, Development and Engineering Command",United States,NA,TRUE,resolved,NA
United States Department of Agriculture,United States,NA,TRUE,resolved,NA
United States Department of Veterans Affairs,United States,NA,TRUE,resolved,NA
United States Environmental Protection Agency,United States,NA,TRUE,resolved,NA
United States Fish and Wildlife Service,United States,NA,TRUE,resolved,NA
United States Forest Service,United States,NA,TRUE,resolved,NA
United States Geological Survey,United States,NA,TRUE,resolved,NA
United States Naval Academy,United States,Maryland,TRUE,resolved,NA
United States Naval Research Laboratory,United States,NA,TRUE,resolved,NA
Universidad de Almería,Spain,NA,TRUE,resolved,NA
Universidad de Chile,Chile,NA,TRUE,resolved,NA
Universidad de Concepcion,Chile,NA,TRUE,resolved,NA
Universidad de Córdoba,Spain,NA,TRUE,resolved,NA
Universidad de Granada,Spain,NA,TRUE,resolved,NA
Universidad de la Laguna,Spain,NA,TRUE,resolved,NA
Universidad de las Américas Ecuador,Ecuador,NA,TRUE,resolved,NA
Universidad de León,Spain,NA,TRUE,resolved,NA
Universidad de los Llanos,Colombia,NA,TRUE,resolved,NA
Universidad de Magallanes,Chile,NA,TRUE,resolved,NA
Universidad de Oriente,NA,NA,TRUE,unknown,NA
Universidad de San Carlos de Guatemala,Guatemala,NA,TRUE,resolved,NA
Universidad de Santiago de Chile,Chile,NA,TRUE,resolved,NA
Universidad de Valparaíso,Chile,NA,TRUE,resolved,NA
Universidad Nacional de la Patagonia San Juan Bosco,Argentina,NA,TRUE,resolved,NA
Universidad Politécnica de Madrid,Spain,NA,TRUE,resolved,NA
Universidade da Madeira,Portugal,NA,TRUE,resolved,NA
Universidade de Aveiro,Portugal,NA,TRUE,resolved,NA
Universidade de Brasília,Brazil,NA,TRUE,resolved,NA
Universidade de Évora,Portugal,NA,TRUE,resolved,NA
Universidade de São Paulo,Brazil,NA,TRUE,resolved,NA
Universidade do Algarve,Portugal,NA,TRUE,resolved,NA
Universidade do Minho,Portugal,NA,TRUE,resolved,NA
Universidade do Namibe,Angola,NA,TRUE,resolved,NA
Universidade dos Açores,Portugal,NA,TRUE,resolved,NA
Universidade Estadual de Campinas,Brazil,NA,TRUE,resolved,NA
Universidade Estadual do Sudoeste da Bahia,Brazil,NA,TRUE,resolved,NA
Universidade Estadual Paulista,Brazil,NA,TRUE,resolved,NA
Universidade Federal da Paraíba,Brazil,NA,TRUE,resolved,NA
Universidade Federal de Alfenas,Brazil,NA,TRUE,resolved,NA
Universidade Federal de Catalão,Brazil,NA,TRUE,resolved,NA
Universidade Federal de Mato Grosso do Sul,Brazil,NA,TRUE,resolved,NA
Universidade Federal de Minas Gerais,Brazil,NA,TRUE,resolved,NA
Universidade Federal do Maranhão,Brazil,NA,TRUE,resolved,NA
Universidade Federal do Pará,Brazil,NA,TRUE,resolved,NA
Universidade Federal do Rio de Janeiro,Brazil,NA,TRUE,resolved,NA
Universidade Federal do Rio Grande do Sul,Brazil,NA,TRUE,resolved,NA
Universidade Nova de Lisboa,Portugal,NA,TRUE,resolved,NA
Università Ca' Foscari Venezia,Italy,NA,TRUE,resolved,NA
Università degli Studi di Catania,Italy,NA,TRUE,resolved,NA
Università degli Studi di Palermo,Italy,NA,TRUE,resolved,NA
Università degli Studi di Sassari,Italy,NA,TRUE,resolved,NA
Universitat de Barcelona,Spain,NA,TRUE,resolved,NA
Universitat de Lleida,Spain,NA,TRUE,resolved,NA
Universität Duisburg-Essen,Germany,NA,TRUE,resolved,NA
Universität Konstanz,Germany,NA,TRUE,resolved,NA
Universitat Rovira i Virgili,Spain,NA,TRUE,resolved,NA
Universität Zürich,Switzerland,NA,TRUE,resolved,NA
Université Bourgogne Europe,France,NA,TRUE,resolved,NA
Université Claude Bernard Lyon 1,France,NA,TRUE,resolved,NA
Université de Montpellier,France,NA,TRUE,resolved,NA
Université de Saint-Boniface,Canada,NA,TRUE,resolved,NA
Université de Toulouse,France,NA,TRUE,resolved,NA
Université de Versailles Saint-Quentin-en-Yvelines,France,NA,TRUE,resolved,NA
Université du Québec à Rimouski,Canada,NA,TRUE,resolved,NA
Université Grenoble Alpes,France,NA,TRUE,resolved,NA
Universiti Sains Malaysia,Malaysia,NA,TRUE,resolved,NA
Universities Space Research Association,United States,NA,TRUE,resolved,NA
University College Dublin,Ireland,NA,TRUE,resolved,NA
University Corporation for Atmospheric Research,United States,Colorado,TRUE,resolved,NA
University of Aberdeen,United Kingdom,NA,TRUE,resolved,NA
University of Adelaide,Australia,NA,TRUE,resolved,NA
University of Alabama,United States,Alabama,TRUE,resolved,NA
University of Alaska Museum of the North,United States,Alaska,TRUE,resolved,NA
"University of Alaska, Fairbanks",United States,Alaska,TRUE,resolved,NA
"University of Alaska, Southeast",United States,Alaska,TRUE,resolved,NA
University of Arizona,United States,Arizona,TRUE,resolved,NA
University of Arkansas,United States,Arkansas,TRUE,resolved,NA
University of Bergen,Norway,NA,TRUE,resolved,NA
University of Birmingham,United Kingdom,NA,TRUE,resolved,NA
University of Bordeaux,France,NA,TRUE,resolved,NA
University of Botswana,Botswana,NA,TRUE,resolved,NA
University of Bristol,United Kingdom,NA,TRUE,resolved,NA
University of British Columbia,Canada,NA,TRUE,resolved,NA
University of Calabria,Italy,NA,TRUE,resolved,NA
University of Calgary,Canada,NA,TRUE,resolved,NA
University of California Agriculture and Natural Resources,United States,California,TRUE,resolved,NA
"University of California, Berkeley",United States,California,TRUE,resolved,NA
"University of California, Davis",United States,California,TRUE,resolved,NA
"University of California, Irvine",United States,California,TRUE,resolved,NA
"University of California, Los Angeles",United States,California,TRUE,resolved,NA
"University of California, Merced",United States,California,TRUE,resolved,NA
"University of California, Riverside",United States,California,TRUE,resolved,NA
"University of California, San Diego",United States,California,TRUE,resolved,NA
"University of California, Santa Barbara",United States,California,TRUE,resolved,NA
"University of California, Santa Cruz",United States,California,TRUE,resolved,NA
University of Canberra,Australia,NA,TRUE,resolved,NA
University of Canterbury,New Zealand,NA,TRUE,resolved,NA
University of Central Florida,United States,Florida,TRUE,resolved,NA
University of Chinese Academy of Sciences,China,NA,TRUE,resolved,NA
University of Cincinnati,United States,Ohio,TRUE,resolved,NA
University of Coimbra,Portugal,NA,TRUE,resolved,NA
"University of Colorado, Boulder",United States,Colorado,TRUE,resolved,NA
University of Connecticut,United States,Connecticut,TRUE,resolved,NA
University of Copenhagen,Denmark,NA,TRUE,resolved,NA
University of Crete,Greece,NA,TRUE,resolved,NA
University of Cuiabá,Brazil,NA,TRUE,resolved,NA
University of Delaware,United States,Delaware,TRUE,resolved,NA
University of Denver,United States,Colorado,TRUE,resolved,NA
University of Dodoma,Tanzania,NA,TRUE,resolved,NA
University of Eastern Finland,Finland,NA,TRUE,resolved,NA
University of Edinburgh,United Kingdom,NA,TRUE,resolved,NA
University of Florida,United States,Florida,TRUE,resolved,NA
University of Galway,Ireland,NA,TRUE,resolved,NA
University of Georgia,United States,Georgia,TRUE,resolved,NA
University of Graz,Austria,NA,TRUE,resolved,NA
University of Hawaii at Manoa,United States,Hawaii,TRUE,resolved,NA
University of Helsinki,Finland,NA,TRUE,resolved,NA
University of Hong Kong,Hong Kong,NA,TRUE,resolved,NA
University of Houston,United States,Texas,TRUE,resolved,NA
University of Iceland,Iceland,NA,TRUE,resolved,NA
University of Idaho,United States,Idaho,TRUE,resolved,NA
"University of Illinois, Chicago",United States,Illinois,TRUE,resolved,NA
"University of Illinois, Urbana-Champaign",United States,Illinois,TRUE,resolved,NA
University of Innsbruck,Austria,NA,TRUE,resolved,NA
University of Ioannina,Greece,NA,TRUE,resolved,NA
University of Iowa,United States,Iowa,TRUE,resolved,NA
University of Johannesburg,South Africa,NA,TRUE,resolved,NA
University of Jordan,Jordan,NA,TRUE,resolved,NA
University of Kentucky,United States,Kentucky,TRUE,resolved,NA
University of Lausanne,Switzerland,NA,TRUE,resolved,NA
University of Lisbon,Portugal,NA,TRUE,resolved,NA
University of Louisville,United States,Kentucky,TRUE,resolved,NA
University of Maine,United States,Maine,TRUE,resolved,NA
University of Manitoba,Canada,NA,TRUE,resolved,NA
University of Maryland Center for Environmental Science,United States,Maryland,TRUE,resolved,NA
"University of Maryland, Baltimore County",United States,Maryland,TRUE,resolved,NA
"University of Maryland, College Park",United States,Maryland,TRUE,resolved,NA
"University of Massachusetts, Amherst",United States,Massachusetts,TRUE,resolved,NA
University of Melbourne,Australia,NA,TRUE,resolved,NA
University of Memphis,United States,Tennessee,TRUE,resolved,NA
University of Miami,United States,Florida,TRUE,resolved,NA
University of Michigan,United States,Michigan,TRUE,resolved,NA
"University of Minnesota, Twin Cities",United States,Minnesota,TRUE,resolved,NA
University of Montana,United States,Montana,TRUE,resolved,NA
University of Montreal,Canada,NA,TRUE,resolved,NA
"University of Nebraska, Lincoln",United States,Nebraska,TRUE,resolved,NA
"University of Nevada, Las Vegas",United States,Nevada,TRUE,resolved,NA
"University of Nevada, Reno",United States,Nevada,TRUE,resolved,NA
University of New Hampshire,United States,New Hampshire,TRUE,resolved,NA
University of North Carolina at Chapel Hill,United States,North Carolina,TRUE,resolved,NA
University of Oklahoma,United States,Oklahoma,TRUE,resolved,NA
University of Oregon,United States,Oregon,TRUE,resolved,NA
University of Orléans,France,NA,TRUE,resolved,NA
University of Otago,New Zealand,NA,TRUE,resolved,NA
University of Oulu,Finland,NA,TRUE,resolved,NA
University of Oxford,United Kingdom,NA,TRUE,resolved,NA
University of Pittsburgh,United States,Pennsylvania,TRUE,resolved,NA
University of Pittsburgh Medical Center,United States,Pennsylvania,TRUE,resolved,NA
University of Puget Sound,United States,Washington,TRUE,resolved,NA
University of Queensland,Australia,NA,TRUE,resolved,NA
University of Reading,United Kingdom,NA,TRUE,resolved,NA
University of Regina,Canada,NA,TRUE,resolved,NA
University of Rhode Island,United States,Rhode Island,TRUE,resolved,NA
University of Richmond,United States,Virginia,TRUE,resolved,NA
University of Rostock,Germany,NA,TRUE,resolved,NA
University of San Diego,United States,California,TRUE,resolved,NA
University of San Francisco,United States,California,TRUE,resolved,NA
University of Saskatchewan,Canada,NA,TRUE,resolved,NA
University of Shanghai for Science and Technology,China,NA,TRUE,resolved,NA
University of South Carolina,United States,South Carolina,TRUE,resolved,NA
University of South Dakota,United States,South Dakota,TRUE,resolved,NA
University of Southern California,United States,California,TRUE,resolved,NA
University of St Andrews,United Kingdom,NA,TRUE,resolved,NA
University of Strathclyde,United Kingdom,NA,TRUE,resolved,NA
University of Sussex,United Kingdom,NA,TRUE,resolved,NA
University of Sydney,Australia,NA,TRUE,resolved,NA
University of Tartu,Estonia,NA,TRUE,resolved,NA
University of Tasmania,Australia,NA,TRUE,resolved,NA
University of Tehran,Iran,NA,TRUE,resolved,NA
"University of Tennessee, Knoxville",United States,Tennessee,TRUE,resolved,NA
University of Texas at Arlington,United States,Texas,TRUE,resolved,NA
University of Texas at Austin,United States,Texas,TRUE,resolved,NA
University of Texas at Tyler,United States,Texas,TRUE,resolved,NA
University of the Pacific,United States,California,TRUE,resolved,NA
University of Toronto,Canada,NA,TRUE,resolved,NA
University of Tsukuba,Japan,NA,TRUE,resolved,NA
University of Tuscia,Italy,NA,TRUE,resolved,NA
University of Utah,United States,Utah,TRUE,resolved,NA
University of Veterinary Medicine Hannover,Germany,NA,TRUE,resolved,NA
University of Veterinary Medicine Vienna,Austria,NA,TRUE,resolved,NA
University of Waikato,New Zealand,NA,TRUE,resolved,NA
University of Washington,United States,Washington,TRUE,resolved,NA
University of Water Resources and Electrical Power,China,NA,TRUE,resolved,NA
University of Waterloo,Canada,NA,TRUE,resolved,NA
University of Western Australia,Australia,NA,TRUE,resolved,NA
"University of Wisconsin, Madison",United States,Wisconsin,TRUE,resolved,NA
"University of Wisconsin, Milwaukee",United States,Wisconsin,TRUE,resolved,NA
"University of Wisconsin, Stevens Point",United States,Wisconsin,TRUE,resolved,NA
University of Wollongong,Australia,NA,TRUE,resolved,NA
University of Wyoming,United States,Wyoming,TRUE,resolved,NA
Utah Division of Wildlife Resources,United States,Utah,TRUE,resolved,NA
Utah State University,United States,Utah,TRUE,resolved,NA
Utrecht University,Netherlands,NA,TRUE,resolved,NA
Valley Eco,NA,NA,TRUE,unknown,NA
Victoria University of Wellington,New Zealand,NA,TRUE,resolved,NA
Vietnam Academy for Water Resources,Vietnam,NA,TRUE,resolved,NA
Virginia Polytechnic Institute and State University,United States,Virginia,TRUE,resolved,NA
Vrije Universiteit Amsterdam,Netherlands,NA,TRUE,resolved,NA
"Vulcan, Inc.",United States,Washington,TRUE,resolved,NA
Wageningen University & Research,Netherlands,NA,TRUE,resolved,NA
Washington Department of Fish and Wildlife,United States,Washington,TRUE,resolved,NA
Washington State University,United States,Washington,TRUE,resolved,NA
Washington University in St. Louis,United States,Missouri,TRUE,resolved,NA
Water Resources Research Center,NA,NA,TRUE,unknown,NA
"Waterborne Environmental, Inc.",United States,Virginia,TRUE,resolved,NA
"WaterFX, Inc.",United States,California,TRUE,resolved,NA
Wellesley College,United States,Massachusetts,TRUE,resolved,NA
West Texas A&M University,United States,Texas,TRUE,resolved,NA
West Virginia University,United States,West Virginia,TRUE,resolved,NA
Western Municipal Water District,United States,California,TRUE,resolved,NA
Western Regional Climate Center,United States,Nevada,TRUE,resolved,NA
Wild Salmon Center,United States,Oregon,TRUE,resolved,NA
Wilderness Society,United States,District of Columbia,TRUE,resolved,NA
Wildlife Investigations Lab California,United States,California,TRUE,resolved,NA
William & Mary,United States,Virginia,TRUE,resolved,NA
William Baker and Associates,NA,NA,TRUE,unknown,NA
"William Lettis and Associates, Inc.",United States,California,TRUE,resolved,NA
"Williams-McCaron, Inc.",NA,NA,TRUE,unknown,NA
Williams-Mystic,United States,Connecticut,TRUE,resolved,NA
Woods Hole Oceanographic Institution,United States,Massachusetts,TRUE,resolved,NA
World Agroforestry Centre,Kenya,NA,TRUE,resolved,NA
World Bank,United States,NA,TRUE,resolved,NA
World Bank Group,United States,NA,TRUE,resolved,NA
World Resources Institute,United States,NA,TRUE,resolved,NA
World Wildlife Fund,United States,District of Columbia,TRUE,resolved,NA
"WRA, Inc.",NA,NA,TRUE,unknown,NA
Wrocław University of Environmental and Life Sciences,Poland,NA,TRUE,resolved,NA
WSL Institute for Snow and Avalanche Research SLF,Switzerland,NA,TRUE,resolved,NA
Wuhan University,China,NA,TRUE,resolved,NA
Wyoming Game and Fish Department,United States,Wyoming,TRUE,resolved,NA
Yale University,United States,Connecticut,TRUE,resolved,NA
Yellow Sea Fisheries Research Institute,China,NA,TRUE,resolved,NA
